timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786779330.0637,sample,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,
0.15,1786779330.2695,sample,"[1.63186, -1.27749, 1.89203, -2.26718, 4.65654, -0.0]","[-6.50533, -0.04375, 2.15043]",open,
0.25,1786779330.5195,sample,"[1.63185, -1.27745, 1.89207, -2.26718, 4.65654, -0.0]","[-6.50532, -0.04376, 2.15038]",open,
0.35,1786779330.5912,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04375, 2.15038]",open,
0.45,1786779330.6704,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.55,1786779330.7496,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.65,1786779330.8229,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.75,1786779330.893,sample,"[1.63184, -1.27745, 1.89207, -2.26716, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.85,1786779330.9708,sample,"[1.63184, -1.27745, 1.89207, -2.26716, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.95,1786779331.0661,sample,"[1.63184, -1.27745, 1.89207, -2.26716, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.05,1786779331.1564,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.15,1786779331.2481,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.25,1786779331.3464,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.35,1786779331.4639,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.45,1786779331.5823,sample,"[1.63184, -1.27745, 1.89207, -2.26714, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.55,1786779331.6911,sample,"[1.63184, -1.27745, 1.89207, -2.26714, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.65,1786779331.8015,sample,"[1.63184, -1.27745, 1.89207, -2.26714, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.75,1786779331.9105,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.85,1786779332.0189,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.95,1786779332.1031,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.05,1786779332.1799,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.15,1786779332.2614,sample,"[1.63184, -1.27745, 1.89207, -2.26712, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.25,1786779332.343,sample,"[1.63184, -1.27745, 1.89207, -2.26712, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.35,1786779332.4223,sample,"[1.63184, -1.27745, 1.89207, -2.26712, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.45,1786779332.5035,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.55,1786779332.5873,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.65,1786779332.6615,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.75,1786779332.7358,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.85,1786779332.8532,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.95,1786779332.9314,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
3.05,1786779333.0042,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
