timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786779330.0621,package_spawned,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,pkg_000
2.7833,1786779332.7889,package_spawned,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
5.5167,1786779334.8915,package_spawned,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_002
10.4167,1786779339.0869,package_arrived,"[1.63184, -1.53745, 1.89207, -2.26709, 4.65651, 0.0]","[-6.50101, -0.11403, 2.34181]",open,pkg_000
13.7,1786779342.002,package_arrived,"[1.40185, -1.48856, 1.89207, -2.26709, 4.65651, 0.0]","[-6.33649, -0.06951, 2.30731]",open,pkg_001
23.55,1786779350.8339,package_arrived,"[1.42122, -1.31245, 1.89207, -2.22716, 4.68145, -0.0]","[-6.34639, -0.02685, 2.17207]",open,pkg_002
40.35,1786779365.7393,grasp,"[1.59684, -1.15744, 1.68207, -2.16714, 4.68148, 0.0]","[-6.48351, 0.05868, 2.16701]",closed,pkg_000
41.2833,1786779366.641,lift,"[1.59687, -1.25524, 1.6821, -2.16712, 4.68145, 0.0]","[-6.48294, 0.03598, 2.25036]",closed,pkg_000
55.1167,1786779379.2111,drop,"[3.06689, -0.95575, 0.78915, -2.16713, 4.68143, 0.0]","[-7.37387, -0.88117, 2.58493]",open,pkg_000
55.15,1786779379.2689,package_spawned,"[3.06689, -0.95332, 0.78574, -2.16713, 4.68143, 0.0]","[-7.37497, -0.88109, 2.58477]",open,pkg_003
95.0333,1786779418.088,grasp,"[1.42686, -1.28299, 1.87121, -2.16713, 4.68148, 0.0]","[-6.34951, -0.01855, 2.1549]",closed,pkg_001
97.8667,1786779421.0833,lift,"[1.61427, -1.39025, 1.87209, -2.16725, 4.68165, -0.0]","[-6.49323, -0.06519, 2.23536]",closed,pkg_001
118.15,1786779440.4811,drop,"[3.12169, -1.42237, 1.32213, -2.1671, 4.68139, 0.0]","[-7.11085, -0.94498, 2.64292]",open,pkg_001
167.2333,1786779487.6754,grasp,"[1.12689, -1.40311, 2.03587, -2.21214, 4.68154, 0.0]","[-6.15339, -0.1166, 2.15065]",closed,pkg_002
168.5333,1786779489.0195,lift,"[1.1269, -1.52502, 2.03719, -2.21215, 4.68154, 0.0]","[-6.16484, -0.14067, 2.23125]",closed,pkg_002
181.1833,1786779501.1709,drop,"[3.31691, -1.6124, 1.62219, -2.21214, 4.68147, 0.0]","[-6.95586, -1.07978, 2.57663]",open,pkg_002
