timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786779839.6669,package_spawned,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,pkg_000
2.7833,1786779842.9412,package_spawned,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
5.5167,1786779845.5306,package_spawned,"[1.63184, -1.46311, 1.89206, -2.26709, 4.65655, 0.0]","[-6.50256, -0.0889, 2.28904]",open,pkg_002
10.4167,1786779850.1485,package_arrived,"[1.63186, -1.41096, 1.83144, -2.26709, 4.65653, 0.0]","[-6.50465, -0.05485, 2.29036]",open,pkg_000
13.7667,1786779853.2814,package_arrived,"[1.63184, -1.42745, 1.84207, -2.26709, 4.65653, 0.0]","[-6.50413, -0.06311, 2.29575]",open,pkg_001
21.8833,1786779861.2895,package_arrived,"[1.63186, -1.30551, 1.77935, -2.26709, 4.65655, 0.0]","[-6.50749, -0.00832, 2.24202]",open,pkg_002
32.05,1786779871.468,grasp,"[1.65184, -1.13739, 1.68207, -2.26716, 4.65663, 0.0]","[-6.5291, 0.05906, 2.1622]",closed,pkg_000
32.7833,1786779872.3111,lift,"[1.65185, -1.23032, 1.68211, -2.26713, 4.65654, 0.0]","[-6.5274, 0.03814, 2.24255]",closed,pkg_000
43.7833,1786779883.5542,drop,"[3.28691, -1.18358, 0.8381, -2.2671, 4.65637, 0.0]","[-7.17489, -1.08851, 2.79076]",open,pkg_000
43.8167,1786779883.6174,package_spawned,"[3.2869, -1.1832, 0.8378, -2.2671, 4.65637, 0.0]","[-7.17513, -1.08854, 2.79061]",open,pkg_003
55.5667,1786779896.3967,package_arrived,"[2.0618, -1.21904, 1.33593, -2.2671, 4.65639, 0.0]","[-6.87687, -0.05784, 2.47094]",open,pkg_003
98.0167,1786779942.5987,grasp,"[1.39684, -1.28252, 1.83696, -2.0521, 4.65663, 0.0]","[-6.32327, -0.0149, 2.16203]",closed,pkg_001
99.0333,1786779943.7784,lift,"[1.39687, -1.39015, 1.83714, -2.05209, 4.65655, 0.0]","[-6.32751, -0.03894, 2.24347]",closed,pkg_001
118.9,1786779964.1775,drop,"[3.22189, -1.05564, 0.49579, -2.05212, 4.65638, 0.0]","[-7.20863, -1.03241, 2.86668]",open,pkg_001
118.9333,1786779964.2373,package_spawned,"[3.22189, -1.05321, 0.49334, -2.05212, 4.65638, 0.0]","[-7.20991, -1.03251, 2.86596]",open,pkg_004
131.7167,1786779977.7799,package_arrived,"[1.91908, -1.63737, 1.23707, -2.05209, 4.6564, 0.0]","[-6.66459, -0.2611, 2.84125]",open,pkg_004
158.3667,1786780006.3093,grasp,"[1.35184, -1.43245, 2.02702, -2.1271, 4.65659, -0.0]","[-6.30935, -0.11094, 2.16601]",closed,pkg_002
159.9333,1786780008.0349,lift,"[1.35186, -1.55505, 2.02714, -2.12712, 4.65654, -0.0]","[-6.31549, -0.13847, 2.24651]",closed,pkg_002
174.2,1786780022.9758,drop,"[3.2959, -1.05221, 0.90715, -2.12712, 4.65639, 0.0]","[-7.28093, -1.11326, 2.59543]",open,pkg_002
174.2333,1786780023.041,package_spawned,"[3.30043, -1.05221, 0.90714, -2.12712, 4.65639, 0.0]","[-7.27949, -1.11771, 2.59545]",open,pkg_005
186.8667,1786780037.4679,package_arrived,"[1.89741, -1.41745, 1.93207, -2.12709, 4.65647, -0.0]","[-6.67854, -0.17745, 2.21282]",open,pkg_005
