timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786779265.6211,sample,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,
0.15,1786779265.8496,sample,"[1.63186, -1.27749, 1.89203, -2.26718, 4.65654, -0.0]","[-6.50533, -0.04375, 2.15043]",open,
0.25,1786779266.1845,sample,"[1.63185, -1.27745, 1.89207, -2.26718, 4.65654, -0.0]","[-6.50532, -0.04376, 2.15038]",open,
0.35,1786779266.2571,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04375, 2.15038]",open,
0.45,1786779266.3302,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.55,1786779266.406,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.65,1786779266.4871,sample,"[1.63184, -1.27745, 1.89207, -2.26717, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.75,1786779266.5703,sample,"[1.63184, -1.27745, 1.89207, -2.26716, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.85,1786779266.6596,sample,"[1.63184, -1.27745, 1.89207, -2.26716, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
0.95,1786779266.7368,sample,"[1.63184, -1.27745, 1.89207, -2.26716, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.05,1786779266.8116,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.15,1786779266.8848,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.25,1786779266.9605,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.35,1786779267.0402,sample,"[1.63184, -1.27745, 1.89207, -2.26715, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.45,1786779267.1216,sample,"[1.63184, -1.27745, 1.89207, -2.26714, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.55,1786779267.2034,sample,"[1.63184, -1.27745, 1.89207, -2.26714, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.65,1786779267.2827,sample,"[1.63184, -1.27745, 1.89207, -2.26714, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.75,1786779267.3655,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.85,1786779267.4462,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
1.95,1786779267.5257,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.05,1786779267.6006,sample,"[1.63184, -1.27745, 1.89207, -2.26713, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.15,1786779267.6813,sample,"[1.63184, -1.27745, 1.89207, -2.26712, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.25,1786779267.7627,sample,"[1.63184, -1.27745, 1.89207, -2.26712, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.35,1786779267.8501,sample,"[1.63184, -1.27745, 1.89207, -2.26712, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.45,1786779267.9344,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.55,1786779268.0166,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.65,1786779268.0905,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.75,1786779268.1685,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.85,1786779268.4996,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
2.95,1786779268.59,sample,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
3.05,1786779268.667,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
3.15,1786779268.743,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
3.25,1786779268.8133,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
3.35,1786779268.8834,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,
3.45,1786779268.9572,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
3.55,1786779269.0306,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
3.65,1786779269.1074,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
3.75,1786779269.181,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
3.85,1786779269.2563,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
3.95,1786779269.3363,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.05,1786779269.4126,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.15,1786779269.4893,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.25,1786779269.5649,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.35,1786779269.6444,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.45,1786779269.728,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.55,1786779269.8102,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.65,1786779269.8853,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.75,1786779269.9582,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.85,1786779270.0323,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.95,1786779270.107,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.05,1786779271.3135,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.15,1786779271.3877,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.25,1786779271.4606,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.35,1786779271.5343,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.45,1786779271.6051,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.55,1786779271.7095,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.65,1786779271.7873,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.75,1786779271.8646,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.85,1786779271.9422,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.95,1786779272.0202,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.05,1786779272.0996,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.15,1786779272.1791,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.25,1786779272.2582,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.35,1786779272.3347,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.45,1786779272.4101,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.55,1786779272.4831,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.65,1786779272.5582,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.75,1786779272.6311,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.85,1786779272.7048,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.95,1786779272.7783,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.05,1786779272.8504,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.15,1786779272.9267,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.25,1786779273.0012,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.35,1786779273.0766,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.45,1786779273.1471,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.55,1786779273.2206,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.65,1786779273.2921,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.75,1786779273.3666,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.85,1786779273.4502,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
7.95,1786779273.529,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.05,1786779273.6031,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.15,1786779273.678,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.25,1786779273.7554,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.35,1786779273.8313,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.45,1786779273.9059,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.55,1786779273.9785,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.65,1786779274.0569,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.75,1786779274.1371,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.85,1786779274.2202,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
8.95,1786779274.306,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.05,1786779274.3907,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.15,1786779274.4787,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.25,1786779274.5724,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.35,1786779274.6666,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.45,1786779274.7523,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.55,1786779274.8312,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.65,1786779274.9067,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.75,1786779274.9803,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.85,1786779275.0625,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
9.95,1786779275.1423,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.05,1786779275.2216,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.15,1786779275.3038,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.25,1786779275.3854,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.35,1786779275.4715,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.45,1786779275.5714,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.55,1786779275.6506,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.65,1786779275.7268,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.75,1786779275.8015,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.85,1786779275.8762,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
10.95,1786779275.9517,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
11.05,1786779276.0254,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
11.15,1786779276.1022,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
11.25,1786779276.1787,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
