timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786779632.3202,package_spawned,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,pkg_000
2.7833,1786779635.1542,package_spawned,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
5.5167,1786779637.4147,package_spawned,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_002
10.4167,1786779641.7818,package_arrived,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_000
13.6667,1786779644.6862,package_arrived,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
56.7,1786779685.8723,package_arrived,"[1.63184, -1.27745, 1.89207, -2.26709, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_002
120.75,1786779748.2723,grasp,"[1.89184, -1.03737, 1.50207, -2.08714, 4.65651, -0.0]","[-6.74828, 0.04481, 2.16138]",closed,pkg_002
131.8167,1786779759.9944,drop,"[1.9267, -1.77964, 2.3915, -2.23426, 4.65662, 0.00901]","[-6.60979, -0.42239, 2.16085]",open,pkg_002
131.85,1786779760.0607,package_spawned,"[1.9715, -1.82384, 2.35493, -2.17559, 4.68775, 0.00645]","[-6.62924, -0.43726, 2.19609]",open,pkg_003
144.9167,1786779774.0626,package_arrived,"[1.09202, -0.5236, 0.94237, -2.02675, 4.76641, 0.0]","[-5.91004, 0.31795, 1.96243]",open,pkg_003
172.0333,1786779800.9903,grasp,"[1.30184, -0.88732, 1.21214, -1.9572, 4.76651, 0.0]","[-6.18384, 0.25713, 2.18395]",closed,pkg_003
173.1667,1786779802.1501,lift,"[1.30185, -0.96844, 1.21217, -1.95717, 4.76657, -0.0]","[-6.18924, 0.23762, 2.26833]",closed,pkg_003
177.75,1786779806.7347,drop,"[3.35735, -1.52736, 1.21215, -1.95714, 4.76638, 0.0]","[-6.96565, -1.11881, 2.77004]",open,pkg_003
177.7833,1786779806.791,package_spawned,"[3.36147, -1.52737, 1.21214, -1.95714, 4.76638, 0.0]","[-6.96433, -1.12155, 2.77004]",open,pkg_004
