timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
4.25,1786774889.8562,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.35,1786774889.9961,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.45,1786774890.134,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.55,1786774890.2894,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.65,1786774890.4288,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.75,1786774890.5688,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.85,1786774890.7181,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
4.95,1786774890.864,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.05,1786774891.0229,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.15,1786774891.1679,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.25,1786774891.3055,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.35,1786774891.4416,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.45,1786774891.5792,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.55,1786774891.79,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.65,1786774891.9619,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.75,1786774892.1304,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.85,1786774892.2753,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
5.95,1786774892.4142,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.05,1786774892.563,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.15,1786774892.7086,sample,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,
6.25,1786774892.8524,sample,"[1.63185, -1.29059, 1.8921, -2.2671, 4.65654, -0.0]","[-6.50518, -0.04612, 2.16042]",open,
6.35,1786774892.9798,sample,"[1.63186, -1.33268, 1.8921, -2.26709, 4.65654, -0.0]","[-6.50467, -0.05451, 2.19245]",open,
6.45,1786774893.1136,sample,"[1.63186, -1.38175, 1.89208, -2.26709, 4.65655, 0.0]","[-6.50397, -0.06597, 2.22931]",open,
6.55,1786774893.2484,sample,"[1.63185, -1.40432, 1.89206, -2.26709, 4.65655, 0.0]","[-6.5036, -0.07183, 2.24607]",open,
6.65,1786774893.3955,sample,"[1.63185, -1.41697, 1.89208, -2.26709, 4.65655, 0.0]","[-6.5034, -0.0753, 2.2554]",open,
6.75,1786774893.5433,sample,"[1.63187, -1.45503, 1.8921, -2.26709, 4.65655, 0.0]","[-6.50272, -0.08642, 2.28317]",open,
6.85,1786774893.6954,sample,"[1.63186, -1.48185, 1.89208, -2.26709, 4.65655, 0.0]","[-6.5022, -0.09487, 2.30251]",open,
6.95,1786774893.842,sample,"[1.63185, -1.49171, 1.89206, -2.26709, 4.65655, 0.0]","[-6.502, -0.0981, 2.30957]",open,
7.05,1786774893.9849,sample,"[1.63184, -1.49534, 1.89206, -2.26709, 4.65654, 0.0]","[-6.50192, -0.09931, 2.31215]",open,
7.15,1786774894.1295,sample,"[1.63184, -1.49667, 1.89207, -2.26709, 4.65654, 0.0]","[-6.50189, -0.09976, 2.31309]",open,
