timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786771209.3651,package_spawned,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,pkg_000
2.7833,1786771218.0025,package_spawned,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
5.5167,1786771223.8338,package_spawned,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_002
10.4167,1786771234.9601,package_arrived,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_000
15.05,1786771242.9853,package_arrived,"[1.47184, -1.2283, 1.89208, -2.2671, 4.65656, 0.0]","[-6.38146, -0.01315, 2.11246]",open,pkg_001
20.1833,1786771251.1158,grasp,"[1.55681, -1.29245, 1.89207, -2.2671, 4.65659, -0.0]","[-6.44809, -0.03319, 2.16187]",closed,pkg_000
20.85,1786771252.2831,lift,"[1.55689, -1.40014, 1.89212, -2.26709, 4.65652, 0.0]","[-6.44848, -0.05753, 2.24294]",closed,pkg_000
21.5833,1786771253.5229,package_arrived,"[1.55693, -1.61984, 1.89211, -2.2671, 4.65653, 0.0]","[-6.44956, -0.13332, 2.3979]",closed,pkg_002
33.5333,1786771272.0282,drop,"[2.82185, -1.0422, 0.82208, -2.26712, 4.65637, 0.0]","[-7.30929, -0.63308, 2.66604]",open,pkg_000
33.5667,1786771272.1292,package_spawned,"[2.82185, -1.0422, 0.82208, -2.26712, 4.65637, 0.0]","[-7.30928, -0.63307, 2.66604]",open,pkg_003
45.7667,1786771292.8258,package_arrived,"[2.82181, -0.9722, 0.82209, -2.26712, 4.65636, 0.0]","[-7.35269, -0.61866, 2.59366]",open,pkg_003
