timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786783723.4396,package_spawned,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,pkg_000
2.5333,1786783726.2906,package_spawned,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
5.0167,1786783728.466,package_spawned,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_002
10.2167,1786783733.3787,package_arrived,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_000
14.65,1786783737.3315,package_arrived,"[1.63187, -1.45178, 1.79643, -2.26709, 4.65651, 0.0]","[-6.50437, -0.05945, 2.34457]",open,pkg_001
22.8333,1786783744.9304,package_arrived,"[1.58184, -1.22745, 1.74207, -1.99714, 4.65654, -0.0]","[-6.46775, 0.00953, 2.16953]",open,pkg_002
33.0,1786783754.6554,grasp,"[1.58187, -1.21742, 1.7421, -2.07718, 4.65653, 0.0]","[-6.46787, 0.0193, 2.17018]",closed,pkg_000
33.75,1786783755.4426,lift,"[1.58185, -1.32019, 1.74211, -2.07714, 4.65655, 0.0]","[-6.4676, -0.00487, 2.25339]",closed,pkg_000
42.5167,1786783764.0266,drop,"[3.42425, -1.48737, 1.33215, -2.0771, 4.65637, 0.0]","[-6.98965, -1.16563, 2.67363]",open,pkg_000
42.55,1786783764.0873,package_spawned,"[3.425, -1.48736, 1.33215, -2.07712, 4.6564, 0.0]","[-6.98938, -1.16616, 2.67362]",open,pkg_003
52.7667,1786783774.8115,package_arrived,"[1.5569, -1.30499, 1.55886, -2.07709, 4.65644, 0.0]","[-6.44697, 0.05187, 2.36337]",open,pkg_003
68.85,1786783791.076,grasp,"[1.36684, -1.34745, 1.90707, -2.04713, 4.65656, -0.0]","[-6.30801, -0.05473, 2.16847]",closed,pkg_001
70.2833,1786783792.6356,lift,"[1.36685, -1.46012, 1.90711, -2.0471, 4.6566, 0.0]","[-6.31333, -0.08037, 2.24909]",closed,pkg_001
88.5667,1786783811.953,drop,"[3.32686, -1.17729, 1.11215, -2.0471, 4.65639, 0.0]","[-7.2068, -1.1315, 2.56006]",open,pkg_001
88.6,1786783812.0196,package_spawned,"[3.32686, -1.17729, 1.11215, -2.0471, 4.65639, 0.0]","[-7.2068, -1.13149, 2.56006]",open,pkg_004
99.3667,1786783823.9326,package_arrived,"[1.59684, -1.44644, 1.8271, -1.8672, 4.6565, -0.0]","[-6.47735, -0.08959, 2.27002]",open,pkg_004
118.2167,1786783844.9899,grasp,"[1.15193, -1.82254, 2.41207, -2.19209, 4.65652, -0.0]","[-6.26536, -0.33179, 2.16303]",closed,pkg_002
123.95,1786783851.7547,lift,"[1.76178, -2.01508, 2.41218, -2.19209, 4.65642, 0.0]","[-6.53145, -0.43938, 2.24406]",closed,pkg_002
135.0,1786783864.3506,drop,"[3.40194, -1.39847, 1.12828, -2.1921, 4.65636, 0.0]","[-7.03293, -1.15956, 2.76471]",open,pkg_002
135.0333,1786783864.4155,package_spawned,"[3.40194, -1.39673, 1.12652, -2.1921, 4.65636, 0.0]","[-7.03394, -1.15983, 2.76454]",open,pkg_005
147.2167,1786783878.4565,package_arrived,"[1.37186, -1.18497, 1.46464, -2.19209, 4.65646, 0.0]","[-6.2738, 0.13346, 2.3379]",open,pkg_005
155.3,1786783887.2947,grasp,"[1.34189, -1.35802, 1.96603, -2.19213, 4.65652, 0.0]","[-6.2922, -0.06675, 2.15761]",closed,pkg_003
156.1,1786783888.2713,lift,"[1.34187, -1.47508, 1.96713, -2.19213, 4.65651, 0.0]","[-6.29818, -0.09246, 2.23929]",closed,pkg_003
165.7167,1786783899.0807,drop,"[3.39193, -1.4475, 1.43214, -2.19212, 4.65657, -0.0]","[-7.03113, -1.15086, 2.58776]",open,pkg_003
165.75,1786783899.1425,package_spawned,"[3.39193, -1.44463, 1.43213, -2.19212, 4.65657, -0.0]","[-7.03283, -1.15129, 2.58547]",open,pkg_006
177.4333,1786783913.9741,package_arrived,"[1.27447, -1.43737, 1.43207, -2.1921, 4.65644, 0.0]","[-6.21784, 0.01285, 2.57971]",open,pkg_006
185.75,1786783924.2096,grasp,"[1.37683, -1.10317, 1.6259, -2.19219, 4.6565, -0.0]","[-6.28312, 0.10976, 2.15721]",closed,pkg_004
186.4833,1786783925.153,lift,"[1.37685, -1.19533, 1.62708, -2.19217, 4.6566, 0.0]","[-6.28715, 0.08938, 2.23812]",closed,pkg_004
201.7833,1786783944.5175,drop,"[3.45185, -1.24721, 0.81711, -2.19212, 4.65639, 0.0]","[-7.06296, -1.21135, 2.85045]",open,pkg_004
201.8167,1786783944.5904,package_spawned,"[3.45185, -1.24721, 0.8171, -2.19212, 4.65639, 0.0]","[-7.06295, -1.21135, 2.85046]",open,pkg_007
